source_dataset,n,json_validity_rate,resource_type_match_rate,exact_string_match_rate,observation_value_exact_match_rate,observation_unit_exact_match_rate,model
gpt_expanded,39,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.0,1.0,Qwen 0.8B
mimic_eicu,3,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,Qwen 0.8B
nhanes,86,1.0,1.0,0.9418604651162792,1.0,1.0,Qwen 0.8B
official,24,1.0,1.0,0.875,1.0,0.9444444444444444,Qwen 0.8B
synthea,248,0.7217741935483871,0.7217741935483871,0.189516129032258,1.0,1.0,Qwen 0.8B
gpt_expanded,39,0.8461538461538461,0.8461538461538461,0.3076923076923077,1.0,1.0,Qwen 2B
mimic_eicu,3,1.0,1.0,0.3333333333333333,1.0,1.0,Qwen 2B
nhanes,86,0.9186046511627908,0.9186046511627908,0.5581395348837209,1.0,0.7457627118644068,Qwen 2B
official,24,1.0,1.0,0.5833333333333334,1.0,0.8333333333333334,Qwen 2B
synthea,248,0.7217741935483871,0.7217741935483871,0.0,1.0,1.0,Qwen 2B
gpt_expanded,39,0.3076923076923077,0.1025641025641025,0.0,0.0,0.0,Qwen 4B
mimic_eicu,3,0.0,0.0,0.0,,,Qwen 4B
nhanes,86,0.3372093023255814,0.1395348837209302,0.0232558139534883,0.4210526315789473,0.1578947368421052,Qwen 4B
official,24,0.2916666666666667,0.0416666666666666,0.0,0.1666666666666666,0.1666666666666666,Qwen 4B
synthea,248,0.3508064516129032,0.189516129032258,0.0,0.5,0.5,Qwen 4B
