step,train_loss,train_token_accuracy,model
10,0.5933,0.8463,Qwen 0.8B
20,0.499,0.8636,Qwen 0.8B
30,0.4344,0.8801,Qwen 0.8B
40,0.392,0.8911,Qwen 0.8B
50,0.3847,0.8933,Qwen 0.8B
60,0.3525,0.8979,Qwen 0.8B
70,0.3506,0.9,Qwen 0.8B
80,0.3494,0.8997,Qwen 0.8B
90,0.2964,0.9153,Qwen 0.8B
100,0.3174,0.9087,Qwen 0.8B
110,0.2983,0.9118,Qwen 0.8B
120,0.3168,0.9076,Qwen 0.8B
130,0.2748,0.9229,Qwen 0.8B
140,0.2993,0.9105,Qwen 0.8B
150,0.2777,0.9167,Qwen 0.8B
160,0.2554,0.9228,Qwen 0.8B
170,0.226,0.9352,Qwen 0.8B
180,0.2154,0.9381,Qwen 0.8B
190,0.1901,0.9448,Qwen 0.8B
200,0.2063,0.9376,Qwen 0.8B
210,0.1926,0.9417,Qwen 0.8B
220,0.1603,0.9513,Qwen 0.8B
230,0.1733,0.9493,Qwen 0.8B
240,0.1568,0.9549,Qwen 0.8B
250,0.1154,0.9658,Qwen 0.8B
260,0.1207,0.9643,Qwen 0.8B
270,0.1106,0.9674,Qwen 0.8B
280,0.1126,0.968,Qwen 0.8B
290,0.09605,0.9718,Qwen 0.8B
300,0.08279,0.9736,Qwen 0.8B
310,0.08989,0.9733,Qwen 0.8B
320,0.07614,0.9775,Qwen 0.8B
330,0.06146,0.9807,Qwen 0.8B
340,0.06573,0.98,Qwen 0.8B
350,0.05154,0.9835,Qwen 0.8B
360,0.04854,0.9842,Qwen 0.8B
370,0.0494,0.9849,Qwen 0.8B
380,0.05447,0.9834,Qwen 0.8B
390,0.0505,0.9842,Qwen 0.8B
400,0.04956,0.9848,Qwen 0.8B
410,0.04325,0.986,Qwen 0.8B
420,0.04069,0.987,Qwen 0.8B
430,0.04237,0.9866,Qwen 0.8B
440,0.03665,0.9873,Qwen 0.8B
450,0.03951,0.987,Qwen 0.8B
460,0.03766,0.9877,Qwen 0.8B
470,0.03525,0.9881,Qwen 0.8B
480,0.03935,0.9887,Qwen 0.8B
490,0.04037,0.987,Qwen 0.8B
500,0.03351,0.9879,Qwen 0.8B
510,0.0329,0.9895,Qwen 0.8B
10,1.047,0.7582,Qwen 2B
20,0.9102,0.7852,Qwen 2B
30,0.7032,0.8235,Qwen 2B
40,0.5957,0.8512,Qwen 2B
50,0.5342,0.8573,Qwen 2B
60,0.5246,0.8569,Qwen 2B
70,0.4819,0.8644,Qwen 2B
